05:08:756544 | CLIENT | RCVD | ACK | 5200 | RELAY1 | CLIENT |
05:08:454944 | CLIENT | RCVD | ACK | 5500 | RELAY2 | CLIENT |
05:08:455260 | CLIENT | RCVD | ACK | 5400 | RELAY1 | CLIENT |
05:08:455359 | CLIENT | SENT | DATA | 5600 | CLIENT | RELAY1 |
05:08:455440 | CLIENT | SENT | DATA | 5700 | CLIENT | RELAY2 |
05:08:455502 | CLIENT | SENT | DATA | 5800 | CLIENT | RELAY1 |
05:08:455589 | CLIENT | SENT | DATA | 5900 | CLIENT | RELAY2 |
05:08:495706 | CLIENT | RCVD | ACK | 5600 | RELAY1 | CLIENT |
05:08:495808 | CLIENT | RCVD | ACK | 5700 | RELAY2 | CLIENT |
05:08:622195 | CLIENT | RCVD | ACK | 5800 | RELAY1 | CLIENT |
05:08:622227 | CLIENT | RCVD | ACK | 5900 | RELAY2 | CLIENT |
05:08:622249 | CLIENT | SENT | DATA | 6000 | CLIENT | RELAY1 |
05:08:622264 | CLIENT | SENT | DATA | 6100 | CLIENT | RELAY2 |
05:08:622281 | CLIENT | SENT | DATA | 6200 | CLIENT | RELAY1 |
05:08:622299 | CLIENT | SENT | DATA | 6300 | CLIENT | RELAY2 |
05:08:427056 | CLIENT | RCVD | ACK | 6200 | RELAY1 | CLIENT |
05:08:427108 | CLIENT | RCVD | ACK | 6300 | RELAY2 | CLIENT |
05:08:428859 | CLIENT | RETRANSMIT | DATA | 6000 | CLIENT | RELAY1 |
05:08:428974 | CLIENT | RETRANSMIT | DATA | 6100 | CLIENT | RELAY2 |
05:08:962511 | CLIENT | RCVD | ACK | 6000 | RELAY1 | CLIENT |
05:08:962561 | CLIENT | RCVD | ACK | 6100 | RELAY2 | CLIENT |
05:08:962579 | CLIENT | SENT | DATA | 6400 | CLIENT | RELAY1 |
05:08:962594 | CLIENT | SENT | DATA | 6500 | CLIENT | RELAY2 |
05:08:962632 | CLIENT | SENT | DATA | 6600 | CLIENT | RELAY1 |
05:08:962667 | CLIENT | SENT | DATA | 6700 | CLIENT | RELAY2 |
05:08:483882 | CLIENT | RCVD | ACK | 6600 | RELAY1 | CLIENT |
05:08:484124 | CLIENT | RCVD | ACK | 6700 | RELAY2 | CLIENT |
05:08:487147 | CLIENT | RETRANSMIT | DATA | 6400 | CLIENT | RELAY1 |
05:08:487288 | CLIENT | RETRANSMIT | DATA | 6500 | CLIENT | RELAY2 |
05:08:823268 | CLIENT | RCVD | ACK | 6400 | RELAY1 | CLIENT |
05:08:823340 | CLIENT | RCVD | ACK | 6500 | RELAY2 | CLIENT |
05:08:823423 | CLIENT | SENT | DATA | 6800 | CLIENT | RELAY1 |
05:08:823481 | CLIENT | SENT | DATA | 6900 | CLIENT | RELAY2 |
05:08:823526 | CLIENT | SENT | DATA | 7000 | CLIENT | RELAY1 |
05:08:823581 | CLIENT | SENT | DATA | 7100 | CLIENT | RELAY2 |
05:08:902332 | CLIENT | RCVD | ACK | 6800 | RELAY1 | CLIENT |
05:08:902407 | CLIENT | RCVD | ACK | 6900 | RELAY2 | CLIENT |
05:09:766369 | CLIENT | RCVD | ACK | 7000 | RELAY1 | CLIENT |
05:09:766470 | CLIENT | RCVD | ACK | 7100 | RELAY2 | CLIENT |
05:09:766527 | CLIENT | SENT | DATA | 7200 | CLIENT | RELAY1 |
05:09:766558 | CLIENT | SENT | DATA | 7300 | CLIENT | RELAY2 |
05:09:766592 | CLIENT | SENT | DATA | 7400 | CLIENT | RELAY1 |
05:09:766618 | CLIENT | SENT | DATA | 7500 | CLIENT | RELAY2 |
05:09:208798 | CLIENT | RCVD | ACK | 7200 | RELAY1 | CLIENT |
05:09:208874 | CLIENT | RCVD | ACK | 7300 | RELAY2 | CLIENT |
05:09:686237 | CLIENT | RCVD | ACK | 7400 | RELAY1 | CLIENT |
05:09:686317 | CLIENT | RCVD | ACK | 7500 | RELAY2 | CLIENT |
05:09:686367 | CLIENT | SENT | DATA | 7600 | CLIENT | RELAY1 |
05:09:686406 | CLIENT | SENT | DATA | 7700 | CLIENT | RELAY2 |
05:09:686437 | CLIENT | SENT | DATA | 7800 | CLIENT | RELAY1 |
05:09:686459 | CLIENT | SENT | DATA | 7900 | CLIENT | RELAY2 |
05:09:395088 | CLIENT | RCVD | ACK | 7700 | RELAY2 | CLIENT |
05:09:395299 | CLIENT | RCVD | ACK | 7600 | RELAY1 | CLIENT |
05:09:727431 | CLIENT | RCVD | ACK | 7900 | RELAY2 | CLIENT |
05:09:727636 | CLIENT | RCVD | ACK | 7800 | RELAY1 | CLIENT |
05:09:727679 | CLIENT | SENT | DATA | 8000 | CLIENT | RELAY1 |
05:09:727722 | CLIENT | SENT | DATA | 8100 | CLIENT | RELAY2 |
05:09:727752 | CLIENT | SENT | DATA | 8200 | CLIENT | RELAY1 |
05:09:727783 | CLIENT | SENT | DATA | 8300 | CLIENT | RELAY2 |
05:09:488562 | CLIENT | RCVD | ACK | 8000 | RELAY1 | CLIENT |
05:09:488873 | CLIENT | RCVD | ACK | 8100 | RELAY2 | CLIENT |
05:09:149853 | CLIENT | RCVD | ACK | 8200 | RELAY1 | CLIENT |
05:09:150109 | CLIENT | RCVD | ACK | 8300 | RELAY2 | CLIENT |
05:09:150237 | CLIENT | SENT | DATA | 8400 | CLIENT | RELAY1 |
05:09:154345 | CLIENT | RETRANSMIT | DATA | 8400 | CLIENT | RELAY1 |
05:09:855739 | CLIENT | RCVD | ACK | 8400 | RELAY1 | CLIENT |
