05:08:962667 | RELAY2 | RCVD | DATA | 6700 | CLIENT | RELAY2 |
05:08:483480 | RELAY2 | SENT | DATA | 6700 | RELAY2 | SERVER |
05:08:483938 | RELAY2 | RCVD | ACK | 6700 | SERVER | RELAY2 |
05:08:484086 | RELAY2 | SENT | ACK | 6700 | RELAY2 | CLIENT |
05:08:487376 | RELAY2 | RCVD | DATA | 6500 | CLIENT | RELAY2 |
05:08:823126 | RELAY2 | SENT | DATA | 6500 | RELAY2 | SERVER |
05:08:823206 | RELAY2 | RCVD | ACK | 6500 | SERVER | RELAY2 |
05:08:823333 | RELAY2 | SENT | ACK | 6500 | RELAY2 | CLIENT |
05:08:823554 | RELAY2 | RCVD | DATA | 6900 | CLIENT | RELAY2 |
05:08:902272 | RELAY2 | SENT | DATA | 6900 | RELAY2 | SERVER |
05:08:902302 | RELAY2 | RCVD | ACK | 6900 | SERVER | RELAY2 |
05:08:902377 | RELAY2 | SENT | ACK | 6900 | RELAY2 | CLIENT |
05:08:902401 | RELAY2 | RCVD | DATA | 7100 | CLIENT | RELAY2 |
05:09:766183 | RELAY2 | SENT | DATA | 7100 | RELAY2 | SERVER |
05:09:766401 | RELAY2 | RCVD | ACK | 7100 | SERVER | RELAY2 |
05:09:766452 | RELAY2 | SENT | ACK | 7100 | RELAY2 | CLIENT |
05:09:766565 | RELAY2 | RCVD | DATA | 7300 | CLIENT | RELAY2 |
05:09:208625 | RELAY2 | SENT | DATA | 7300 | RELAY2 | SERVER |
05:09:208809 | RELAY2 | RCVD | ACK | 7300 | SERVER | RELAY2 |
05:09:208863 | RELAY2 | SENT | ACK | 7300 | RELAY2 | CLIENT |
05:09:208879 | RELAY2 | RCVD | DATA | 7500 | CLIENT | RELAY2 |
05:09:686061 | RELAY2 | SENT | DATA | 7500 | RELAY2 | SERVER |
05:09:686258 | RELAY2 | RCVD | ACK | 7500 | SERVER | RELAY2 |
05:09:686294 | RELAY2 | SENT | ACK | 7500 | RELAY2 | CLIENT |
05:09:686425 | RELAY2 | RCVD | DATA | 7700 | CLIENT | RELAY2 |
05:09:394701 | RELAY2 | SENT | DATA | 7700 | RELAY2 | SERVER |
05:09:394950 | RELAY2 | RCVD | ACK | 7700 | SERVER | RELAY2 |
05:09:395043 | RELAY2 | SENT | ACK | 7700 | RELAY2 | CLIENT |
05:09:395087 | RELAY2 | RCVD | DATA | 7900 | CLIENT | RELAY2 |
05:09:727201 | RELAY2 | SENT | DATA | 7900 | RELAY2 | SERVER |
05:09:727328 | RELAY2 | RCVD | ACK | 7900 | SERVER | RELAY2 |
05:09:727369 | RELAY2 | SENT | ACK | 7900 | RELAY2 | CLIENT |
05:09:727731 | RELAY2 | RCVD | DATA | 8100 | CLIENT | RELAY2 |
05:09:488070 | RELAY2 | SENT | DATA | 8100 | RELAY2 | SERVER |
05:09:488543 | RELAY2 | RCVD | ACK | 8100 | SERVER | RELAY2 |
05:09:488715 | RELAY2 | SENT | ACK | 8100 | RELAY2 | CLIENT |
05:09:488784 | RELAY2 | RCVD | DATA | 8300 | CLIENT | RELAY2 |
05:09:149647 | RELAY2 | SENT | DATA | 8300 | RELAY2 | SERVER |
05:09:149956 | RELAY2 | RCVD | ACK | 8300 | SERVER | RELAY2 |
05:09:150081 | RELAY2 | SENT | ACK | 8300 | RELAY2 | CLIENT |
